ID,site number,site location,cluster name,site acronym,date,month,sample type,Tot N (mg/L (0<mdl)),Diss N (mg/L (0<mdl)),Tot P (ug/L (0<mdl)),Diss P (ug/L (0<mdl)),nitrate_nitrogen,ammonium_nitrogen,dissolved_organic_nitrogen,nutrient comments
3.7750000000000000e+03,"R17","Deer Valley WTP treated water","srp","deer valley-treated","06/14/05 00:00:00","06/14/05 00:00:00",,,9.6000000000000002e-02,,,,,,
3.7760000000000000e+03,"Green In","Greenway WTP Inlet","srp","Green In","06/14/05 00:00:00","06/14/05 00:00:00",,,1.3300000000000001e-01,2.1699999999999999e+01,,,,,
3.7770000000000000e+03,"Green Out","Greenway WTP Outlet","srp","Green Out","06/14/05 00:00:00","06/14/05 00:00:00",,,2.2400000000000000e-01,,,,,,
3.7780000000000000e+03,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","06/14/05 00:00:00","06/14/05 00:00:00",,,1.0000000000000001e-01,2.3600000000000001e+01,,,,,
3.7790000000000000e+03,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","06/14/05 00:00:00","06/14/05 00:00:00",,,1.1600000000000001e-01,,,,,,
3.7800000000000000e+03,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","06/14/05 00:00:00","06/14/05 00:00:00",,,1.0600000000000000e-01,1.1500000000000000e+01,,,,,
3.7810000000000000e+03,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","06/14/05 00:00:00","06/14/05 00:00:00",,,1.9800000000000001e-01,2.9600000000000001e+01,,,,,
3.7820000000000000e+03,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","06/14/05 00:00:00","06/14/05 00:00:00",,,8.5000000000000006e-02,1.3199999999999999e+01,,,,,
3.7830000000000000e+03,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","06/14/05 00:00:00","06/14/05 00:00:00",,,1.0100000000000001e-01,1.7500000000000000e+01,,,,,
3.7840000000000000e+03,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","06/14/05 00:00:00","06/14/05 00:00:00",,,1.6000000000000000e-01,1.4300000000000001e+01,,,,,
3.7850000000000000e+03,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","06/14/05 00:00:00","06/14/05 00:00:00",,,1.4199999999999999e-01,1.6800000000000001e+01,,,,,
3.7860000000000000e+03,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","06/14/05 00:00:00","06/14/05 00:00:00",,,2.3699999999999999e-01,2.1199999999999999e+01,,,,,
3.7870000000000000e+03,"R20","Verde River at Tangle","verde","verde abv horseshoe","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7880000000000000e+03,"Havasu 1","Havasu lake Sample",,"Havasu 1","06/14/05 00:00:00","06/14/05 00:00:00",,,1.9200000000000000e-01,7.9000000000000004e+00,,,,,
3.7890000000000000e+03,"Havasu 2","Havasu lake Sample",,"Havasu 2","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7900000000000000e+03,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7910000000000000e+03,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","06/14/05 00:00:00","06/14/05 00:00:00",,,1.1300000000000000e-01,,,,,,
3.7920000000000000e+03,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","06/14/05 00:00:00","06/14/05 00:00:00",,,1.3300000000000001e-01,,,,,,
3.7930000000000000e+03,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","06/14/05 00:00:00","06/14/05 00:00:00",,,1.3200000000000001e-01,,,,,,
3.7940000000000000e+03,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","06/14/05 00:00:00","06/14/05 00:00:00",,,8.4000000000000005e-02,5.6399999999999999e+01,,,,,
3.7950000000000000e+03,"R1","CAP canal above Waddell Canal","cap","cap-siphon","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7960000000000000e+03,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7970000000000000e+03,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7980000000000000e+03,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.7990000000000000e+03,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.8000000000000000e+03,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.8010000000000000e+03,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.8020000000000000e+03,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","06/14/05 00:00:00","06/14/05 00:00:00",,,,,,,,,
3.8030000000000000e+03,"R3","Waddell Canal","cap","waddell canal","07/12/05 00:00:00","07/12/05 00:00:00",,,1.6800000000000001e-01,2.3600000000000001e+01,,,,,
3.8040000000000000e+03,"UH In","Union Hills Inlet","cap","Union Hills Inlet","07/12/05 00:00:00","07/12/05 00:00:00",,,1.3000000000000000e-01,8.5000000000000000e+00,,,,,
3.8050000000000000e+03,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","07/12/05 00:00:00","07/12/05 00:00:00",,,1.1700000000000001e-01,,,,,,
3.8060000000000000e+03,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/12/05 00:00:00","07/12/05 00:00:00",,,1.2100000000000000e-01,7.5000000000000000e+00,,,,,
3.8070000000000000e+03,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","07/12/05 00:00:00","07/12/05 00:00:00",,,8.9999999999999997e-02,,,,,,
3.8080000000000000e+03,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","07/12/05 00:00:00","07/12/05 00:00:00",,,7.9000000000000001e-02,1.3699999999999999e+01,,,,,
3.8090000000000000e+03,"R19","Val Vista WTP treated water","srp","val vista-treated","07/12/05 00:00:00","07/12/05 00:00:00",,,6.9000000000000006e-02,,,,,,
3.8100000000000000e+03,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","07/12/05 00:00:00","07/12/05 00:00:00",,,8.2000000000000003e-02,2.7100000000000001e+01,,,,,
3.8110000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","07/12/05 00:00:00","07/12/05 00:00:00",,,8.9999999999999997e-02,7.4000000000000004e+00,,,,,
3.8120000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","07/12/05 00:00:00","07/12/05 00:00:00",,,8.7999999999999995e-02,,,,,,
3.8130000000000000e+03,"R25","verde river at beeline highway","verde","verde @ beeline","07/12/05 00:00:00","07/12/05 00:00:00",,,5.8999999999999997e-02,3.4000000000000000e+01,,,,,
3.8140000000000000e+03,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","07/12/05 00:00:00","07/12/05 00:00:00",,,1.4499999999999999e-01,1.7500000000000000e+01,,,,,
3.8150000000000000e+03,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/12/05 00:00:00","07/12/05 00:00:00",,,7.3999999999999996e-02,8.8000000000000007e+00,,,,,
3.8160000000000000e+03,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/12/05 00:00:00","07/12/05 00:00:00",,,8.1000000000000003e-02,1.2699999999999999e+01,,,,,
3.8170000000000000e+03,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","07/12/05 00:00:00","07/12/05 00:00:00",,,9.9000000000000005e-02,4.7000000000000002e+00,,,,,
3.8180000000000000e+03,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","07/12/05 00:00:00","07/12/05 00:00:00",,,5.9999999999999998e-02,,,,,,
3.8190000000000000e+03,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","07/12/05 00:00:00","07/12/05 00:00:00",,,7.3999999999999996e-02,2.5399999999999999e+01,,,,,
3.8200000000000000e+03,"R17","Deer Valley WTP treated water","srp","deer valley-treated","07/12/05 00:00:00","07/12/05 00:00:00",,,6.3000000000000000e-02,,,,,,
3.8210000000000000e+03,"Green In","Greenway WTP Inlet","srp","Green In","07/12/05 00:00:00","07/12/05 00:00:00",,,8.0000000000000002e-02,1.3800000000000001e+01,,,,,
