ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
6744,R20,Verde River at Tangle,verde,verde abv horseshoe,11/15/2005,11/15/2005,,,,,,,,
6745,Havasu 1,Havasu lake Sample,,Havasu 1,11/15/2005,11/15/2005,,,,,,,,
6746,Havasu 2,Havasu lake Sample,,Havasu 2,11/15/2005,11/15/2005,,,,,,,,
6747,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,11/15/2005,11/15/2005,,,,,,,,
6748,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/15/2005,11/15/2005,,,,,,,,
6749,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/15/2005,11/15/2005,,,,,,,,
6750,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/15/2005,11/15/2005,,,,,,,,
6751,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/15/2005,11/15/2005,,,,,,,,
6752,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/15/2005,11/15/2005,,,,,,,,
6753,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2005,11/15/2005,,,,,,,,
6754,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/15/2005,11/15/2005,,,,,,,,
6755,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/15/2005,11/15/2005,,,,,,,,
6756,R3,Waddell Canal,cap,waddell canal,12/6/2005,12/6/2005,,13.1,,8.3,,,,
6757,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/6/2005,12/6/2005,,12.3,,7.9,,,,
6758,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/6/2005,12/6/2005,,11.9,,8.1,,,,
6759,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/6/2005,12/6/2005,,10.9,,8.4,,,,
6760,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/6/2005,12/6/2005,,,,,,,,
6761,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/6/2005,12/6/2005,,11.3,,8.6,,,,
6762,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/6/2005,12/6/2005,,,,,,,,
6763,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/6/2005,12/6/2005,,10.6,,8.4,,,,
6764,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/6/2005,12/6/2005,,,,,,,,
6765,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/6/2005,12/6/2005,,,,,,,,
6766,R19,Val Vista WTP treated water,srp,val vista-treated,12/6/2005,12/6/2005,,,,,,,,
6767,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/6/2005,12/6/2005,,11.9,,8.6,,,,
6768,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/6/2005,12/6/2005,,10.3,,8.4,,,,
6769,R25,verde river at beeline highway,verde,verde @ beeline,12/6/2005,12/6/2005,,10.6,,8.3,,,,
6770,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/6/2005,12/6/2005,,11.3,,8.5,,,,
6771,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,12/6/2005,12/6/2005,,10.7,,8.5,,,,
6772,UH In,Union Hills Inlet,cap,Union Hills Inlet,12/6/2005,12/6/2005,,12.7,,8.4,,,,
6773,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,12/6/2005,12/6/2005,,,,,,,,
6774,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,12/6/2005,12/6/2005,,11.3,,8.6,,,,
6775,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,12/6/2005,12/6/2005,,,,,,,,
6776,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/6/2005,12/6/2005,,11.2,,8.5,,,,
6777,HTC,Head of the Tempe Canal,tempe,head of tempe canal,12/6/2005,12/6/2005,,,,,,,,
6778,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/6/2005,12/6/2005,,,,,,,,
