ID,Miles from Granite Reef Dam,mi from 24th st,site number,Location,Date,MIB (ng/L),Chlor-A, ug/cm2,Total Nitrogen,Dissolved Nitrogen,Total Phosphate,Dissolved Phosphate,Geosmin (ng/L)
220,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/25/01 00:00:00",31.1,,,,,,
221,27.06,3,"Northern","AZ Canal at Northern Avenue","07/25/01 00:00:00",28.4,,,,,,
222,28.16,4.1,"R21","AZ Canal at Central Av.","07/25/01 00:00:00",34.1,,,,,,
223,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/25/01 00:00:00",32.2,,,,,,
224,,,"25th Av.","25th Av.","07/25/01 00:00:00",,,,,,,
225,31,7,"29th Av.","29th Av.","07/25/01 00:00:00",39.6,,,,,,
226,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/25/01 00:00:00",39.6,,,,,,
227,,,"R17","Deer Valley WTP treated water","07/25/01 00:00:00",,,,,,,
228,34.66,10.5,"51st Av.","51st Av.","07/25/01 00:00:00",36,,,,,,
229,37,13.2,"67th Av.","67th Av.","07/25/01 00:00:00",,,,,,,
230,,,"Little Harq p.p.","Little Harq p.p.","07/25/01 00:00:00",,,,,,,
231,,,"Havasu p.p.","Havasu p.p.","07/25/01 00:00:00",,,,,,,
232,,,"R4","CAP at 7th ST","07/30/01 00:00:00",,,,,,,
233,,,"R18","South Canal at Val Vista WTP","07/30/01 00:00:00",,,,,,,
234,,,"R19","Val Vista WTP treated water","07/30/01 00:00:00",,,,,,,
235,,,"R10","Salt River below Saguaro Lake","07/30/01 00:00:00",,,,,,,
236,,,"R11","CAP Canal at cross-connect","07/30/01 00:00:00",,,,,,,
237,0,,"R12","AZ Canal above CAP cross-connect","07/30/01 00:00:00",,,,,,,
238,0.5,,"R13","AZ Canal below CAP cross-connect","07/30/01 00:00:00",,,,,,,
239,4,,"Hwy 87","AZ Canal at Highway 87","07/30/01 00:00:00",,,,,,,
240,1.2,,"B1","B1","07/30/01 00:00:00",,,,,,,
241,2.4,,"B2","B2","07/30/01 00:00:00",,,,,,,
242,5.2,,"B3","B3","07/30/01 00:00:00",,,,,,,
243,6.4,,"B4","B4","07/30/01 00:00:00",,,,,,,
244,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/30/01 00:00:00",,,,,,,
245,12.94,,"Pima","AZ Canal at Pima Rd.","07/30/01 00:00:00",,,,,,,
246,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/30/01 00:00:00",,,,,,,
247,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/30/01 00:00:00",,,,,,,
248,21.11,,"44th St.","AZ Canal at 44th Street","07/30/01 00:00:00",,,,,,,
249,,,"32nd St.","AZ Canal at 32nd Street","07/30/01 00:00:00",,,,,,,
250,24.06,0,"24th St.","24th St.","07/30/01 00:00:00",25.7,,,,,,
251,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/30/01 00:00:00",25.7,,,,,,
252,,,"R15","Squaw Peak WTP treated water","07/30/01 00:00:00",,,,,,,
253,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/30/01 00:00:00",29.9,,,,,,
254,27.06,3,"Northern","AZ Canal at Northern Avenue","07/30/01 00:00:00",27.2,,,,,,
255,28.16,4.1,"R21","AZ Canal at Central Av.","07/30/01 00:00:00",33.7,,,,,,
256,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/30/01 00:00:00",34,,,,,,
257,,,"25th Av.","25th Av.","07/30/01 00:00:00",,,,,,,
258,31,7,"29th Av.","29th Av.","07/30/01 00:00:00",35.5,,,,,,
259,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/30/01 00:00:00",35.5,,,,,,
260,,,"R17","Deer Valley WTP treated water","07/30/01 00:00:00",,,,,,,
261,34.66,10.5,"51st Av.","51st Av.","07/30/01 00:00:00",28.6,,,,,,
262,37,13.2,"67th Av.","67th Av.","07/30/01 00:00:00",,,,,,,
263,,,"Little Harq p.p.","Little Harq p.p.","07/30/01 00:00:00",,,,,,,
264,,,"Havasu p.p.","Havasu p.p.","07/30/01 00:00:00",,,,,,,
