ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
1156,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/25/2019","136","406","15",,,,,,,
1157,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/15/2019",,,,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1158,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","4/15/2019",,"249",,,,,,,,
1159,"R11","CAP Canal at Cross-connect","cap","cap @ x con","4/15/2019","84","174",,,,,,,,
1160,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","4/15/2019","124","413",,,,,,,,
1161,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","4/15/2019","123",,,,,,,,,
1162,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","4/15/2019","101","169",,,,,,,,
1163,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","4/15/2019","153","285",,,,,,,,
1164,"R3","Waddell Canal","cap","waddell canal","4/15/2019",,"72",,,,,,,,
1165,"R25","verde river at beeline highway","verde","verde @ beeline","4/15/2019","185","112",,,,,,,,
1166,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","4/15/2019","96","184",,,,,,,,
1167,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","4/15/2019","46","89",,,,,,,,
1168,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","4/15/2019",,"56",,,,,,,,
1169,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","4/15/2019",,,,,,,,,,
1170,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/7/2019","37",,"43","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1171,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/7/2019","24","629","18",,,,,,,
1172,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/7/2019","16","863","32",,,,,,,
1173,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/7/2019","20","859","42",,,,,,,
1174,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/7/2019","28","1184","14",,,,,,,
1175,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/7/2019","25",,"13",,,,,,,
1176,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/7/2019",,,"41",,,,,,,
1177,"R3","Waddell Canal","cap","waddell canal","5/7/2019",,"562","TFTC",,,,,,,
1178,"R25","verde river at beeline highway","verde","verde @ beeline","5/7/2019","19","972","22",,,,,,,
1179,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/7/2019",,"458","69",,,,,,,
1180,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","5/7/2019","31","986","35",,,,,,,
1181,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","5/7/2019","26","1093","84",,,,,,,
1182,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","5/7/2019","25","971","54",,,,,,,
1183,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/13/2019","26","613","TFTC","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1184,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/13/2019","42","1253","56",,,,,,,
1185,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/13/2019","29","1001","TFTC",,,,,,,
1186,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/13/2019",,"1142","TFTC",,,,,,,
1187,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/13/2019","23","714","14",,,,,,,
1188,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/13/2019","16","836","13",,,,,,,
1189,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/13/2019","23","967","TFTC",,,,,,,
1190,"R3","Waddell Canal","cap","waddell canal","6/13/2019",,"472","TFTC",,,,,,,
1191,"R25","verde river at beeline highway","verde","verde @ beeline","6/13/2019","19","972","86",,,,,,,
1192,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/13/2019","20","753","69",,,,,,,
1193,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/13/2019","46",,"35",,,,,,,
1194,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/13/2019","25","847","21",,,,,,,
1195,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/13/2019","19",,"48",,,,,,,
1196,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","7/22/2019",,,,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1197,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","7/22/2019",,,,,,,,,,
1198,"R11","CAP Canal at Cross-connect","cap","cap @ x con","7/22/2019",,,,,,,,,,
1199,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","7/22/2019",,,"14",,,,,,,
1200,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","7/22/2019","27","273","29",,,,,,,
1201,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","7/22/2019","12","348","19",,,,,,,
1202,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","7/22/2019",,,,,,,,,,
1203,"R3","Waddell Canal","cap","waddell canal","7/22/2019","14","620",,,,,,,,
1204,"R25","verde river at beeline highway","verde","verde @ beeline","7/22/2019",,,,,,,,,,
1205,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","7/22/2019",,,,,,,,,,
1206,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","7/22/2019","34","1189","32",,,,,,,
1207,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","7/22/2019","25","532","39",,,,,,,
1208,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","7/22/2019","18","456","28",,,,,,,
1209,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/19/2019","11","672",,"Counted Mycobacterium samples after 2 week incubation ",,,,,,
1210,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/19/2019","16","546",,,,,,,,
1211,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/19/2019","18","931",,,,,,,,
1212,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/19/2019","5","468",,,,,,,,
1213,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/19/2019","10","582",,,,,,,,
1214,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/19/2019","11","512",,,,,,,,
1215,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/19/2019","28","762",,,,,,,,
1216,"R3","Waddell Canal","cap","waddell canal","8/19/2019","3",,,,,,,,,
1217,"R25","verde river at beeline highway","verde","verde @ beeline","8/19/2019","16","648",,,,,,,,
1218,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/19/2019","24","448",,,,,,,,
1219,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/19/2019","12","869",,,,,,,,
1220,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/19/2019","9","452",,,,,,,,
1221,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/19/2019","12","732",,,,,,,,
1222,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","9/24/2019","76",,"18","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1223,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","9/24/2019","243","700","12",,,,,,,
1224,"R11","CAP Canal at Cross-connect","cap","cap @ x con","9/24/2019","63","564","TFTC",,,,,,,
1225,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","9/24/2019","42","768","11",,,,,,,
1226,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","9/24/2019",,"45","TFTC",,,,,,,
1227,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","9/24/2019","32",,"26",,,,,,,
1228,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","9/24/2019","76","567","TFTC",,,,,,,
1229,"R3","Waddell Canal","cap","waddell canal","9/24/2019","64","437","TFTC",,,,,,,
1230,"R25","verde river at beeline highway","verde","verde @ beeline","9/24/2019",,,,,,,,,,
1231,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","9/24/2019",,"621","21",,,,,,,
1232,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","9/24/2019","35","684","19",,,,,,,
1233,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","9/24/2019","29","541","8",,,,,,,
1234,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","9/24/2019",,"823","14",,,,,,,
1235,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/21/2019","77","486","33","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1236,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/21/2019","78",,"46",,,,,,,
1237,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/21/2019","42","332",,,,,,,,
1238,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/21/2019","83","674","36",,,,,,,
1239,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/21/2019","26","468","TNTC",,,,,,,
1240,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/21/2019","43",,"43",,,,,,,
1241,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/21/2019","57","386","56",,,,,,,
1242,"R3","Waddell Canal","cap","waddell canal","10/21/2019","243","213","TFTC",,,,,,,
1243,"R25","verde river at beeline highway","verde","verde @ beeline","10/21/2019",,,,,,,,,,
1244,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/21/2019","375","354","61",,,,,,,
1245,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/21/2019","47","632","34",,,,,,,
1246,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/21/2019",,"224","20",,,,,,,
1247,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/21/2019","16","712",,,,,,,,
1248,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/25/2019","31","329","65","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1249,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/25/2019","187","264","TFTC",,,,,,,
1250,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/25/2019",,,,,,,,,,
1251,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/25/2019","42","336","78",,,,,,,
1252,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/25/2019","67",,"14",,,,,,,
1253,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/25/2019","23","317","9",,,,,,,
1254,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/25/2019","47","541","36",,,,,,,
1255,"R3","Waddell Canal","cap","waddell canal","11/25/2019",,"765","11",,,,,,,
1256,"R25","verde river at beeline highway","verde","verde @ beeline","11/25/2019",,,"14",,,,,,,
1257,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/25/2019","236","147","TFTC",,,,,,,
1258,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/25/2019","14","218","63",,,,,,,
1259,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/25/2019",,,"25",,,,,,,
1260,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/25/2019",,,"6",,,,,,,
1261,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/16/2019","186","365","65","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1263,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/16/2019",,,,,,,,,,
1264,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/16/2019","31","424","78",,,,,,,
1265,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/16/2019","112","476","14",,,,,,,
1266,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/16/2019",,,"9",,,,,,,
1267,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/16/2019","75","476","36",,,,,,,
1269,"R25","verde river at beeline highway","verde","verde @ beeline","12/16/2019","107","636","14",,,,,,,
1272,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/16/2019","97","398","25",,,,,,,
1274,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/1/2020","200","620","72","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1275,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/1/2020","480",,"43",,,,,,,
1276,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/1/2020","19","135","NR",,,,,,,
1277,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/1/2020",,,"NR",,,,,,,
1278,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/1/2020","37","436","NR",,,,,,,
1279,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/1/2020","70","480","98",,,,,,,
1280,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/1/2020","23","156","56",,,,,,,
1281,"R3","Waddell Canal","cap","waddell canal","1/1/2020","13","310","8",,,,,,,
1282,"R25","verde river at beeline highway","verde","verde @ beeline","1/1/2020",,,"34",,,,,,,
1283,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/1/2020","220",,"23",,,,,,,
1284,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/1/2020",,,"NR",,,,,,,
1285,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/1/2020","21","190","NR",,,,,,,
1286,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/1/2020","560","28","2",,,,,,,
1287,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/1/2020","22","TNTC","7","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1288,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/1/2020","41","TNTC","10",,,,,,,
1289,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/1/2020","8","TNTC","14",,,,,,,
1290,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/1/2020","37","980","2",,,,,,,
1291,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/1/2020","36","342","18",,,,,,,
1292,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/1/2020","15","130","19",,,,,,,
1293,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/1/2020","16","TNTC","6",,,,,,,
1294,"R3","Waddell Canal","cap","waddell canal","5/1/2020","10","132","4",,,,,,,
1295,"R25","verde river at beeline highway","verde","verde @ beeline","5/1/2020","57","820","20",,,,,,,
1296,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/1/2020","21","611","8",,,,,,,
1297,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","5/1/2020","32","470","9",,,,,,,
1298,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","5/1/2020","42","247","11",,,,,,,
1299,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","5/1/2020","35","722","27",,,,,,,
1300,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/1/2020",,"TNTC","15","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1301,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/1/2020","51","320","13",,,,,,,
1302,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/1/2020",,,"20",,,,,,,
1303,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/1/2020","160","TNTC","9",,,,,,,
1304,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/1/2020","90","TNTC","17",,,,,,,
1305,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/1/2020","26","492","25",,,,,,,
1306,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/1/2020","31","391","17",,,,,,,
1307,"R3","Waddell Canal","cap","waddell canal","6/1/2020","46","300","25",,,,,,,
1308,"R25","verde river at beeline highway","verde","verde @ beeline","6/1/2020","47","120","19",,,,,,,
1309,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/1/2020","75","420","21",,,,,,,
1310,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/1/2020","62","920","9",,,,,,,
1311,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/1/2020","400","194","15",,,,,,,
1312,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/1/2020","57","TNTC","24",,,,,,,
1262,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/16/2019","65","397","TFTC",,,,,,,
1268,"R3","Waddell Canal","cap","waddell canal","12/16/2019",,,"11",,,,,,,
1271,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/16/2019","32","364","63",,,,,,,
1273,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/16/2019","28","421","6",,,,,,,
1270,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/16/2019","48","574","TFTC",,,,,,,
