ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
389,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/2/2014","37","462",,,,,,,,
1047,"R3","Waddell Canal","cap","waddell canal","7/2/2018","0","896","18",,,,,,,
1048,"R25","verde river at beeline highway","verde","verde @ beeline","7/2/2018","91","472","40",,,,,,,
1049,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","7/2/2018","17","1040","23",,,,,,,
1050,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","7/2/2018","32","880","22",,,,,,,
1051,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","7/2/2018","10","432","6",,,,,,,
1052,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","7/2/2018","194","864","7",,,,,,,
1053,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/21/2018","24","760","CONT","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1054,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/21/2018","43","1056","CONT",,,,,,,
1055,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/21/2018","27","344","CONT",,,,,,,
1056,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/21/2018","35","976","CONT",,,,,,,
1057,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/21/2018","55","1008","CONT",,,,,,,
1058,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/21/2018","13","1096","CONT",,,,,,,
1059,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/21/2018","11","472","CONT",,,,,,,
1060,"R3","Waddell Canal","cap","waddell canal","8/21/2018","0","144","CONT",,,,,,,
1061,"R25","verde river at beeline highway","verde","verde @ beeline","8/21/2018","67","544","CONT",,,,,,,
1062,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/21/2018","18","488","CONT",,,,,,,
1063,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/21/2018","63","608","CONT",,,,,,,
1064,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/21/2018","119","312","CONT",,,,,,,
1065,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/21/2018","55","736","CONT",,,,,,,
1066,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","9/25/2018","26","1264","3","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1067,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","9/25/2018","56","1056","4",,,,,,,
1068,"R11","CAP Canal at Cross-connect","cap","cap @ x con","9/25/2018","8","896","2",,,,,,,
1069,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","9/25/2018","31","1080","4",,,,,,,
1070,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","9/25/2018","13","1152","2",,,,,,,
1071,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","9/25/2018","14","1768","3",,,,,,,
1072,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","9/25/2018","34","992","0",,,,,,,
1073,"R3","Waddell Canal","cap","waddell canal","9/25/2018","6","776","0",,,,,,,
1074,"R25","verde river at beeline highway","verde","verde @ beeline","9/25/2018","48","832","15",,,,,,,
