ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
873,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/10/2006,0,
874,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/10/2006,5.4,
875,R19,Val Vista WTP treated water,srp,val vista-treated,4/10/2006,0,
876,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/10/2006,5.2,
877,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/10/2006,4.2,
878,R25,verde river at beeline highway,verde,verde @ beeline,4/10/2006,10.6,
879,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/10/2006,5.3,
880,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/10/2006,5.4,
881,UH In,Union Hills Inlet,cap,Union Hills Inlet,4/10/2006,2.3,
882,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/10/2006,0.0,
883,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/10/2006,,
884,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/10/2006,,
885,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,4/10/2006,5.8,
886,HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/10/2006,5.2,
887,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/10/2006,5.4,
888,SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/10/2006,3.6,
889,Green In,Greenway WTP Inlet,srp,Green In,4/10/2006,5.1,
890,Green Out,Greenway WTP Outlet,srp,Green Out,4/10/2006,3.2,
891,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/10/2006,3.6,
892,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/10/2006,3.8,
893,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/10/2006,11.8,
894,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/10/2006,9.8,
895,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/10/2006,4.8,
896,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,4/10/2006,4.8,
897,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/10/2006,4.7,
898,R20,Verde River at Tangle,verde,verde abv horseshoe,4/10/2006,17.0,
899,Havasu 1,Havasu lake Sample,,Havasu 1,4/10/2006,16.9,
900,Havasu 2,Havasu lake Sample,,Havasu 2,4/10/2006,,
901,R3,Waddell Canal,cap,waddell canal,5/15/2006,3.0,
902,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/15/2006,4.8,
903,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/15/2006,4.7,
904,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/15/2006,2.1,
905,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/15/2006,3.8,
906,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/15/2006,4.6,
907,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/15/2006,0.0,
908,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/15/2006,5.0,
909,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/15/2006,0,
910,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/15/2006,5.0,
911,R19,Val Vista WTP treated water,srp,val vista-treated,5/15/2006,0,
912,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/15/2006,4.7,
913,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/15/2006,4.6,
914,R25,verde river at beeline highway,verde,verde @ beeline,5/15/2006,9.1,
915,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/15/2006,4.6,
916,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/15/2006,4.7,
