ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments,Field1
11887,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11888,"R9A-DUP","Saguaro Lake near inlet","salt","saguaro-epi dup","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11889,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11890,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/01/20 00:00:00","05/01/20 00:00:00",,,5.8,0.103,1.8,,,,,,,,
11891,"SRNR","Salt River near Roosevelt","salt","SRNR","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
788,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/01/01 00:00:00","12/01/01 00:00:00",,,,0.0168,,25.79,442.26,25.61,23.43,13.86,1.85,,
11892,"UH IN","Union Hills Inlet","cap","Union Hills Inlet","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11893,"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11894,"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11895,"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11896,"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11897,"SPT OUT","Tempe's South Plant treated water","tempe","STP Out","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11898,"GR IN","Greenway WTP Inlet","srp","Green In","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11899,"GR OUT","Greenway WTP Outlet","srp","Green Out","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11900,"GL IN","Glendale WTP Inlet",,"Glen In","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
11901,"GL OUT","Glendale WTP Outlet",,"Glen Out","05/01/20 00:00:00","05/01/20 00:00:00",,,,,,,,,,,,,
