"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"R19","Val Vista WTP treated water","srp","val vista-treated",1999-11-17,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",1999-11-17,NA,0,0,NA,NA,0,0,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",1999-11-30,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",1999-12-14,NA,5.8,9.9,NA,NA,8,8,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",1999-12-14,NA,0,0,NA,NA,0,3,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",1999-12-14,NA,0,0,NA,NA,6,2,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",1999-12-14,NA,0,0,NA,NA,9,0,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",1999-12-14,NA,5.8,0,NA,NA,7,0,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",1999-12-14,NA,0,0,NA,NA,5,2,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",1999-12-14,NA,NA,NA,NA,NA,NA,NA,"sample not taken, very turbid"
"R1","CAP canal above Waddell Canal","cap","cap-siphon",1999-12-15,NA,0,8.4,NA,NA,0,4,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",1999-12-15,NA,9.3,0,NA,NA,14,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",1999-12-15,NA,9.9,0,NA,NA,14,0,NA
"R3","Waddell Canal","cap","waddell canal",1999-12-15,NA,0,8.1,NA,NA,0,4,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",1999-12-15,NA,0,0,NA,NA,0,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",1999-12-15,NA,0,0,NA,NA,0,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",1999-12-15,NA,0,0,NA,NA,0,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",1999-12-15,NA,0,0,NA,NA,0,0,NA
"field_blank","field blank",NA,NA,1999-12-16,"field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,1999-12-16,"lab blank",0,0,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",1999-12-16,NA,7,6.1,NA,NA,15,4,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",1999-12-16,NA,6.1,0,NA,NA,16,5,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",1999-12-16,NA,9.2,8.7,NA,NA,22,7,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",1999-12-16,NA,9.5,9,NA,NA,13,5,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",1999-12-16,NA,NA,NA,NA,NA,NA,NA,"south canal shut down"
"R19","Val Vista WTP treated water","srp","val vista-treated",1999-12-16,NA,NA,NA,NA,NA,NA,NA,"val vista shut down"
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",1999-12-16,NA,0,6.7,NA,NA,NA,NA,"sample not taken for phoenix"
"union hills","union hills wtp impoundment","cap","union hills-impound",1999-12-16,"extra sample",0,9.6,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",1999-12-30,NA,NA,NA,NA,NA,NA,NA,NA
"field_blank","field blank",NA,NA,2000-01-11,"field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,2000-01-11,"lab blank",0,0,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2000-01-11,NA,2.4,3.6,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2000-01-11,NA,0,0,NA,NA,NA,NA,NA
