"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"CH In","Chandler Inlet",NA,"Chandler Inlet",2016-10-03,NA,5.43065533056335,3.77012256868002,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2016-10-03,NA,6.54502302535333,3.20106799776129,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2016-10-03,NA,4.30637197524478,2.14213947430378,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2016-10-03,NA,2.11623138741456,1.02864552136896,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-10-03,NA,8.96070675305308,3.33476122332476,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-10-03,NA,8.33151995535818,3.64672969040413,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-10-03,NA,8.19506521162243,4.66038950809005,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-10-03,NA,9.15703683151916,2.86643876664924,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2016-10-03,NA,9.45603213361202,3.92050763907876,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2016-10-03,NA,8.09148469625455,2.15048539672142,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-10-03,NA,6.63365377561657,4.24510063437214,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2016-10-03,NA,8.30604433523088,2.79729438408796,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-10-03,NA,4.26724325331273,2.0567258252575,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-10-03,NA,3.77565531402995,1.85489184071462,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-10-03,NA,5.65238475484497,2.3634648852524,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St",2016-10-03,NA,7.57922641848525,3.84988423229157,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated",2016-10-03,NA,7.02417825181949,1.88531748193333,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-10-03,NA,6.71366552865111,4.02852922986394,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-10-03,NA,7.1575820230849,3.46142908381517,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-10-03,NA,8.45767766700655,6.64893757982554,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-10-03,NA,5.00679898012201,2.29685597279268,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2016-10-03,NA,11.1333042491789,2.5233051462382,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2016-10-03,NA,10.9947138247139,3.49011158933906,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS",2016-10-03,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-10-03,NA,1.34113183132587,3.34553697125639,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2016-10-03,NA,3.97488381634284,3.63674627687924,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2016-10-03,NA,3.96748520810228,1.62141730219603,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2016-10-03,NA,3.5986989107505,1.85351846107627,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2016-10-03,NA,4.84936880065271,2.32775701465544,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2016-10-24,NA,6.69772419749361,2.16522281668673,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2016-10-24,NA,6.83143306600606,2.3456637722477,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2016-10-24,NA,4.87682755288573,2.1463124355126,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2016-10-24,NA,1.34113183132587,1.02864552136896,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2016-10-24,NA,7.5428435717765,3.67298237041402,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2016-10-24,NA,6.37874502572005,2.42848912889864,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St",2016-10-24,NA,7.66076365775496,4.14278385131546,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated",2016-10-24,NA,1.34113183132587,1.02864552136896,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2016-10-24,NA,3.42349681664149,1.59299890814105,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2016-10-24,NA,2.88858506827995,1.9946068077693,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2016-10-24,NA,NA,NA,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2016-11-07,NA,2.43215700013699,-0.133707925813305,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2016-11-07,NA,2.4780885070968,-0.133707925813305,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2016-11-07,NA,3.18640925070879,-0.133707925813305,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2016-11-07,NA,4.56541129063652,2.51093030465622,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2016-11-07,NA,10.8524997043541,2.68290581558357,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2016-11-07,NA,2.20030450836821,-0.133707925813305,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2016-11-07,NA,-0.241219294328804,1.68154555725913,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-11-07,NA,41.1295735558262,-0.133707925813305,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-11-07,NA,4.61052985057049,-0.133707925813305,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-11-07,NA,12.0354189216498,2.78056123683993,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO",2016-11-07,NA,2.48134029520015,1.88773968467089,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-11-07,NA,9.63990792061521,3.91614867558601,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2016-11-07,NA,11.6521143989676,3.77505816234515,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2016-11-07,NA,9.67616535796756,2.15040923642367,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-11-07,NA,11.7899902145496,4.10008599514115,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2016-11-07,NA,6.36625154227119,-0.133707925813305,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-11-07,NA,3.96139165043944,1.59114565926881,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-11-07,NA,3.41541642788714,-0.133707925813305,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-11-07,NA,5.39599926693444,1.45432021713704,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St",2016-11-07,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-11-07,NA,9.25318902042443,3.45405028162898,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-11-07,NA,15.1887591401699,3.21108829982854,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-11-07,NA,4.51362656509068,-0.133707925813305,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2016-11-07,NA,6.48063318880649,-0.133707925813305,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2016-11-07,NA,6.80182855871479,-0.133707925813305,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-11-07,NA,3.22160985692754,2.24904513379706,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2016-11-07,NA,11.8034038404759,1.41387557730948,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2016-11-07,NA,9.7693290871285,-0.133707925813305,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2016-11-07,NA,11.8489288739228,-0.133707925813305,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2016-11-07,NA,5.87181716115698,-0.133707925813305,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2016-11-07,NA,6.49803025515941,-0.133707925813305,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2016-11-07,NA,5.70329324270092,-0.133707925813305,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2016-11-07,NA,7.00116316945009,-0.133707925813305,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS",2016-11-07,NA,2.18770382946773,-0.133707925813305,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-11-07,NA,4.49167699539308,-0.133707925813305,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2016-11-07,NA,2.2652589757326,-0.133707925813305,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2016-11-07,NA,3.34550298366514,-0.133707925813305,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2016-12-05,NA,1.4226393834523,1.4467705510359,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2016-12-05,NA,-0.241219294328804,1.55040687660614,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2016-12-05,NA,1.69391980597418,1.03536277232941,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-12-05,NA,2.2922488169904,1.71252860255733,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2016-12-05,NA,2.15721831599883,-0.133707925813305,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-12-05,NA,2.32314080397222,1.77998535940911,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St",2016-12-05,NA,-0.241219294328804,1.3927953407933,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-12-05,NA,1.90219683399369,1.37647041344472,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-12-05,NA,-0.241219294328804,1.77542614546491,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo",2016-12-05,NA,2.96203587157771,-0.133707925813305,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo",2016-12-05,NA,3.52483909756484,-0.133707925813305,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt river Inlet","salt","SRNR",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"Salt-Gila","Salt-Gila Pump Station",NA,"SGPS",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2016-12-05,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2016-12-05,NA,-0.241219294328804,-0.133707925813305,NA,NA,NA,NA,NA
"AN In","Anthem Inlet",NA,"Anthem In",2017-01-09,NA,0.183552390633636,1.08278186852339,NA,NA,NA,NA,NA
"AN Out","Anthem Outlet",NA,"Anthem Out",2017-01-09,NA,0.183552390633636,0.979622450214664,NA,NA,NA,NA,NA
"CH In","Chandler Inlet",NA,"Chandler Inlet",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"CH Out","Chandler Treated",NA,"Chandler Treated",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2017-01-09,NA,-1.43591408913009,1.78473318655752,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-01-09,NA,6.23245103014077,-0.388224871543823,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-01-09,NA,4.6286646961258,-0.388224871543823,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO",2017-01-09,NA,-1.43591408913009,1.28566278766887,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-01-09,NA,0.183552390633636,1.52474654652922,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-01-09,NA,0.183552390633636,1.24960999031953,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-01-09,NA,0.183552390633636,1.12191439092002,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to 24th St WTP","srp","az canal @ 24th St",2017-01-09,NA,4.86980051690166,-0.388224871543823,NA,NA,NA,NA,NA
"R15","24th St WTP treated water","srp","24th St-treated",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2017-01-09,NA,-1.43591408913009,0.796425912754041,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-01-09,NA,4.9943734099351,-0.388224871543823,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-01-09,NA,0.183552390633636,-0.388224871543823,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2017-01-09,NA,2.30713773792634,0.0575394950928683,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2017-01-09,NA,5.57018898257915,0.773481023481782,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-01-09,NA,0.183552390633636,1.03957490729599,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2017-01-09,NA,NA,NA,NA,NA,NA,NA,NA
