ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,sample type,comments
6.7190000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.5100000000000001e+01,1.4400000000000000e+01,1.3999999999999999e+00,,,,,
6.7200000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.6899999999999999e+01,1.4400000000000000e+01,1.6000000000000001e+00,,,,,
6.7210000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",4.8899999999999999e+01,1.4199999999999999e+01,2.0000000000000000e+00,,,,,
6.7220000000000000e+03,"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","11/15/05 00:00:00","11/15/05 00:00:00",0.0000000000000000e+00,2.0000000000000000e+01,5.5999999999999996e+00,,9.1000000000000003e-01,,,
6.7230000000000000e+03,"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","11/15/05 00:00:00","11/15/05 00:00:00",5.0000000000000000e+00,1.9899999999999999e+01,6.0999999999999996e+00,,,,,
6.7240000000000000e+03,"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","11/15/05 00:00:00","11/15/05 00:00:00",1.0000000000000000e+01,1.9899999999999999e+01,6.4000000000000004e+00,,,,,
6.7250000000000000e+03,"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","11/15/05 00:00:00","11/15/05 00:00:00",1.5000000000000000e+01,1.9899999999999999e+01,6.2000000000000002e+00,,,,,
6.7260000000000000e+03,"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","11/15/05 00:00:00","11/15/05 00:00:00",2.0000000000000000e+01,1.9899999999999999e+01,6.2999999999999998e+00,,,,,
6.7270000000000000e+03,"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","11/15/05 00:00:00","11/15/05 00:00:00",2.5000000000000000e+01,1.9899999999999999e+01,6.0999999999999996e+00,,,,,
6.7280000000000000e+03,"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","11/15/05 00:00:00","11/15/05 00:00:00",3.0000000000000000e+01,1.9800000000000001e+01,6.0000000000000000e+00,,,,,
6.7290000000000000e+03,"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","11/15/05 00:00:00","11/15/05 00:00:00",3.5000000000000000e+01,1.9500000000000000e+01,4.7999999999999998e+00,,,,,
6.7300000000000000e+03,"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","11/15/05 00:00:00","11/15/05 00:00:00",4.0000000000000000e+01,1.9399999999999999e+01,4.9000000000000004e+00,,,,,
6.7310000000000000e+03,"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","11/15/05 00:00:00","11/15/05 00:00:00",4.5000000000000000e+01,1.9300000000000001e+01,4.2000000000000002e+00,,,,,
6.7320000000000000e+03,"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","11/15/05 00:00:00","11/15/05 00:00:00",5.0000000000000000e+01,,,,,,,
6.7330000000000000e+03,"R9A","Saguaro Lake near inlet","salt","saguaro-0m","11/15/05 00:00:00","11/15/05 00:00:00",0.0000000000000000e+00,1.9199999999999999e+01,5.9000000000000004e+00,,2.1299999999999999e+00,,,
6.7340000000000000e+03,"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","11/15/05 00:00:00","11/15/05 00:00:00",5.0000000000000000e+00,1.9300000000000001e+01,6.2000000000000002e+00,,,,,
6.7350000000000000e+03,"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","11/15/05 00:00:00","11/15/05 00:00:00",1.0000000000000000e+01,1.9300000000000001e+01,6.4000000000000004e+00,,,,,
6.7360000000000000e+03,"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","11/15/05 00:00:00","11/15/05 00:00:00",1.5000000000000000e+01,1.9399999999999999e+01,6.2999999999999998e+00,,,,,
6.7370000000000000e+03,"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","11/15/05 00:00:00","11/15/05 00:00:00",2.0000000000000000e+01,1.9399999999999999e+01,6.0000000000000000e+00,,,,,
6.7380000000000000e+03,"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","11/15/05 00:00:00","11/15/05 00:00:00",2.5000000000000000e+01,1.9399999999999999e+01,5.7999999999999998e+00,,,,,
6.7390000000000000e+03,"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","11/15/05 00:00:00","11/15/05 00:00:00",3.0000000000000000e+01,1.9300000000000001e+01,5.5000000000000000e+00,,,,,
6.7400000000000000e+03,"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","11/15/05 00:00:00","11/15/05 00:00:00",3.5000000000000000e+01,,,,,,,
6.7410000000000000e+03,"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","11/15/05 00:00:00","11/15/05 00:00:00",4.0000000000000000e+01,,,,,,,
6.7420000000000000e+03,"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","11/15/05 00:00:00","11/15/05 00:00:00",4.5000000000000000e+01,,,,,,,
6.7430000000000000e+03,"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","11/15/05 00:00:00","11/15/05 00:00:00",5.0000000000000000e+01,,,,,,,
6.7440000000000000e+03,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7450000000000000e+03,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7460000000000000e+03,"Havasu 2","Havasu lake Sample",,"Havasu 2","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7470000000000000e+03,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7480000000000000e+03,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7490000000000000e+03,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7500000000000000e+03,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7510000000000000e+03,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7520000000000000e+03,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7530000000000000e+03,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7540000000000000e+03,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7550000000000000e+03,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.7560000000000000e+03,"R3","Waddell Canal","cap","waddell canal","12/06/05 00:00:00","12/06/05 00:00:00",,1.3100000000000000e+01,,8.3000000000000007e+00,,,,
6.7570000000000000e+03,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/06/05 00:00:00","12/06/05 00:00:00",,1.2300000000000001e+01,,7.9000000000000004e+00,,,,
6.7580000000000000e+03,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/06/05 00:00:00","12/06/05 00:00:00",,1.1900000000000000e+01,,8.0999999999999996e+00,,,,
6.7590000000000000e+03,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/06/05 00:00:00","12/06/05 00:00:00",,1.0900000000000000e+01,,8.4000000000000004e+00,,,,
6.7600000000000000e+03,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7610000000000000e+03,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/06/05 00:00:00","12/06/05 00:00:00",,1.1300000000000001e+01,,8.5999999999999996e+00,,,,
6.7620000000000000e+03,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7630000000000000e+03,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/06/05 00:00:00","12/06/05 00:00:00",,1.0600000000000000e+01,,8.4000000000000004e+00,,,,
6.7640000000000000e+03,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7650000000000000e+03,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7660000000000000e+03,"R19","Val Vista WTP treated water","srp","val vista-treated","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7670000000000000e+03,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/06/05 00:00:00","12/06/05 00:00:00",,1.1900000000000000e+01,,8.5999999999999996e+00,,,,
6.7680000000000000e+03,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/06/05 00:00:00","12/06/05 00:00:00",,1.0300000000000001e+01,,8.4000000000000004e+00,,,,
6.7690000000000000e+03,"R25","verde river at beeline highway","verde","verde @ beeline","12/06/05 00:00:00","12/06/05 00:00:00",,1.0600000000000000e+01,,8.3000000000000007e+00,,,,
6.7700000000000000e+03,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/06/05 00:00:00","12/06/05 00:00:00",,1.1300000000000001e+01,,8.5000000000000000e+00,,,,
6.7710000000000000e+03,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/06/05 00:00:00","12/06/05 00:00:00",,1.0699999999999999e+01,,8.5000000000000000e+00,,,,
6.7720000000000000e+03,"UH In","Union Hills Inlet","cap","Union Hills Inlet","12/06/05 00:00:00","12/06/05 00:00:00",,1.2699999999999999e+01,,8.4000000000000004e+00,,,,
6.7730000000000000e+03,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","12/06/05 00:00:00","12/06/05 00:00:00",,,,,,,,
6.7740000000000000e+03,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","12/06/05 00:00:00","12/06/05 00:00:00",,1.1300000000000001e+01,,8.5999999999999996e+00,,,,
